domain,https_usage,has_https_rr,rr_count,ech_present,dnssec_present,records,param_flags.mode,param_flags.alpn,param_flags.ipv4hint,param_flags.ipv6hint,param_flags.dynamic_config
handle.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.6.52,172.67.154.242"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::ac43:9af2,2606:4700:3037::6815:634""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
hwg.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.58.222,172.67.209.23"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3033::6815:3ade,2606:4700:3035::ac43:d117""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
xnxxarab.to,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.74.225,172.67.164.13"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3030::6815:4ae1,2606:4700:3033::ac43:a40d""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
html5up.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.76.136,172.67.195.190"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3030::6815:4c88,2606:4700:3036::ac43:c3be""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
complianz.io,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.70.194,172.67.138.205"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3034::6815:46c2,2606:4700:3036::ac43:8acd""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
steamdb.info,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.34.212,172.66.175.250"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:22d4,2606:4700:10::ac42:affa""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
kotaku.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.6.137,104.26.7.137,172.67.68.158"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:689,2606:4700:20::681a:789,2606:4700:20::ac43:449e""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
avsubthai.me,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.2.18,104.26.3.18,172.67.74.101"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:212,2606:4700:20::681a:312,2606:4700:20::ac43:4a65""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
doxygen.nl,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.54.221,172.67.142.203"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3030::ac43:8ecb,2606:4700:3035::6815:36dd""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
allporncomic.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.4.71,104.26.5.71,172.67.69.85"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:447,2606:4700:20::681a:547,2606:4700:20::ac43:4555""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
av-th.net,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.4.56,104.26.5.56,172.67.75.227"" ech=""AEX+DQBBoAAgACC1s8bOVBWBjF9ngtb7yyj0lS54XIum9+PgQy65T2a8ZgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:438,2606:4700:20::681a:538,2606:4700:20::ac43:4be3""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
azeriseks.org,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.26.8.98,104.26.9.98,172.67.69.57"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:20::681a:862,2606:4700:20::681a:962,2606:4700:20::ac43:4539""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
buumal.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.21.94.42,172.67.219.82"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:3031::6815:5e2a,2606:4700:3033::ac43:db52""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
destacamos.com,True,True,1,True,True,"[{'rdata_text': '1 . alpn=""h3,h2"" ipv4hint=""104.20.33.69,172.66.162.211"" ech=""AEX+DQBBvAAgACDzSxc1dLFVyAsIjDFyyTWpuTirqoIfGQWzryoU9y42WQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA="" ipv6hint=""2606:4700:10::6814:2145,2606:4700:10::ac42:a2d3""', 'priority': 1, 'target': '.'}]",Service,True,True,True,True
